"subject","db","pavBias"
11,"sham",0.133333333333333
15,"sham",0.333333333333333
18,"anode",-2.22044604925031e-16
27,"sham",0.088888888888889
28,"anode",-0.644444444444444
30,"sham",1.51111111111111
33,"anode",0.0444444444444445
43,"sham",0.0444444444444445
54,"sham",-0.133333333333333
59,"anode",-0.4
60,"anode",0.133333333333333
63,"anode",0.0666666666666669
64,"anode",-0.266666666666667
69,"sham",0.222222222222222
73,"sham",0.222222222222222
76,"anode",0.111111111111111
79,"sham",0.133333333333333
86,"anode",-0.0222222222222224
91,"anode",0.888888888888889
101,"sham",1.22222222222222
104,"sham",1.08888888888889
105,"anode",0.0444444444444445
107,"anode",0.0444444444444445
108,"sham",0
109,"anode",-0.0222222222222221
110,"sham",0.0444444444444443
112,"anode",0.0666666666666667
121,"anode",-0.2
125,"sham",-0.0222222222222221
127,"anode",-2.22044604925031e-16
