"","subject","sham_RBI","anode_RBI","sham_PBS","anode_PBS","sham_PPB","anode_PPB","sham_pavRew","anode_pavRew","sham_pavPun","anode_pavPun","sham_pav","anode_pav"
"1",28,0.535714285714286,0.574712643678161,0.53125,0.56989247311828,0.533482142857143,0.57230255839822,0,0.111111111111111,0.133333333333333,0.177777777777778,0.133333333333333,0.288888888888889
"2",18,0.532110091743119,0.5,0.549295774647887,0.5,0.540702933195503,0.5,0.288888888888889,0.133333333333333,-0.133333333333333,-0.133333333333333,0.155555555555556,-2.22044604925031e-16
"3",33,0.438356164383562,0.226415094339623,0.457943925233645,0.385826771653543,0.448150044808603,0.306120932996583,-0.288888888888889,-0.733333333333333,0.0888888888888889,0.0888888888888889,-0.2,-0.644444444444444
"4",60,0.861702127659574,0.597826086956522,0.895348837209302,0.602272727272727,0.878525482434438,0.600049407114625,0.8,0.222222222222222,0.711111111111111,0.177777777777778,1.51111111111111,0.4
"5",63,0.511363636363636,0.510869565217391,0.510869565217391,0.511363636363636,0.511116600790514,0.511116600790514,0,0.0444444444444445,0.0444444444444444,0,0.0444444444444445,0.0444444444444445
"6",64,0.511363636363636,0.510869565217391,0.510869565217391,0.511363636363636,0.511116600790514,0.511116600790514,0,0.0444444444444445,0.0444444444444445,0,0.0444444444444445,0.0444444444444445
"7",76,0.463414634146341,0.477272727272727,0.469387755102041,0.478260869565217,0.466401194624191,0.477766798418972,-0.155555555555556,-0.0666666666666667,0.0222222222222223,-0.0222222222222223,-0.133333333333333,-0.0888888888888888
"8",91,0.646153846153846,0.359375,0.88,0.422413793103448,0.763076923076923,0.390894396551724,0.866666666666667,-0.488888888888889,-0.0222222222222223,0.0888888888888889,0.844444444444444,-0.4
"9",86,0.563218390804598,0.534090909090909,0.559139784946237,0.532608695652174,0.561179087875417,0.533349802371542,0.0888888888888889,0.0444444444444444,0.155555555555556,0.0888888888888889,0.244444444444444,0.133333333333333
"10",59,0.505494505494505,0.51685393258427,0.50561797752809,0.516483516483517,0.505556241511298,0.516668724533893,0.0222222222222221,0.0222222222222223,0,0.0444444444444445,0.0222222222222221,0.0666666666666669
"11",105,0.459183673469388,0.436170212765957,0.451219512195122,0.430232558139535,0.455201592832255,0.433201385452746,0,-0.0888888888888888,-0.177777777777778,-0.177777777777778,-0.177777777777778,-0.266666666666667
"12",107,0.571428571428571,0.621428571428571,0.545454545454545,0.925,0.558441558441558,0.773214285714286,-0.111111111111111,0.933333333333333,0.333333333333333,-0.177777777777778,0.222222222222222,0.755555555555556
"13",109,0.517241379310345,0.525252525252525,0.516129032258065,0.530864197530864,0.516685205784205,0.528058361391695,0,0.155555555555556,0.0666666666666667,-0.0444444444444445,0.0666666666666667,0.111111111111111
"14",112,0.531914893617021,0.551401869158878,0.534883720930233,0.575342465753425,0.533399307273627,0.563372167456152,0.111111111111111,0.311111111111111,0.0222222222222221,-0.0666666666666667,0.133333333333333,0.244444444444444
"15",121,0.517241379310345,0.494505494505495,0.516129032258065,0.49438202247191,0.516685205784205,0.494443758488702,0,0,0.0666666666666667,-0.0222222222222223,0.0666666666666667,-0.0222222222222224
"16",127,0.561797752808989,0.651515151515151,0.56043956043956,0.916666666666667,0.561118656624275,0.784090909090909,0.111111111111111,0.911111111111111,0.133333333333333,-0.0222222222222223,0.244444444444444,0.888888888888889
"17",30,0.757009345794392,0.5625,0.876712328767123,0.55,0.816860837280758,0.55625,0.8,0,0.422222222222222,0.222222222222222,1.22222222222222,0.222222222222222
"18",54,0.689922480620155,0.511111111111111,0.980392156862745,0.511111111111111,0.83515731874145,0.511111111111111,0.977777777777778,0.0222222222222223,0.111111111111111,0.0222222222222223,1.08888888888889,0.0444444444444445
"19",43,0.47,0.511904761904762,0.4625,0.510416666666667,0.46625,0.511160714285714,0.0444444444444444,-0.0444444444444445,-0.177777777777778,0.0888888888888889,-0.133333333333333,0.0444444444444445
"20",11,0.528089887640449,0.510869565217391,0.527472527472527,0.511363636363636,0.527781207556488,0.511116600790514,0.0444444444444445,0.0444444444444444,0.0666666666666668,0,0.111111111111111,0.0444444444444445
"21",73,0.5,0.5,0.5,0.5,0.5,0.5,0,-0.0222222222222221,0,0.0222222222222223,0,2.22044604925031e-16
"22",79,0.489795918367347,0.495049504950495,0.48780487804878,0.493670886075949,0.488800398208064,0.494360195513222,0.0666666666666667,0.111111111111111,-0.111111111111111,-0.133333333333333,-0.0444444444444445,-0.0222222222222221
"23",101,0.511111111111111,0.489130434782609,0.511111111111111,0.488636363636364,0.511111111111111,0.488883399209486,0.0222222222222221,0,0.0222222222222221,-0.0444444444444445,0.0444444444444443,-0.0444444444444443
"24",108,0.517241379310345,0.516129032258065,0.516129032258065,0.517241379310345,0.516685205784205,0.516685205784205,0,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0.0666666666666667
"25",110,0.506024096385542,0.448275862068966,0.505154639175258,0.451612903225806,0.5055893677804,0.449944382647386,-0.0666666666666667,-0.133333333333333,0.0888888888888889,-0.0666666666666668,0.0222222222222221,-0.2
"26",104,0.494505494505495,0.5,0.49438202247191,0.5,0.494443758488702,0.5,0,-0.0444444444444444,-0.0222222222222223,0.0444444444444444,-0.0222222222222221,0
"27",125,0.505376344086022,0.5,0.505747126436782,0.5,0.505561735261402,0.5,0.0444444444444444,0.0444444444444444,-0.0222222222222223,-0.0444444444444445,0.0222222222222221,-2.22044604925031e-16
